lane_key,lane,pickup_city,pickup_state,pickup_state_name,delivery_city,delivery_state,delivery_state_name
067e29eea04fa42cc4afa23d82e7450c,"Granite City,IL -> Starkville,MS",Granite City,IL,Illinois,Starkville,MS,Mississippi
15dca8313ddbe8a49cb5432e19a3d656,"McCook,NE -> Chicago,IL",McCook,NE,Nebraska,Chicago,IL,Illinois
eba3474ea5b7aa7f4859212750e237c0,"Houston,TX -> Abilene,TX",Houston,TX,Texas,Abilene,TX,Texas
f67e73d2e912ac6c1dbb66aced8a0d9e,"Philadelphia,PA -> Elyria,OH",Philadelphia,PA,Pennsylvania,Elyria,OH,Ohio
ee88012a00326ed854c5b1ed2726593c,"Taft,CA -> Tracy,CA",Taft,CA,California,Tracy,CA,California
1940eba3fc5cc39b30d4b2e05d4f17e4,"Pennsauken Township,NJ -> York,PA",Pennsauken Township,NJ,New Jersey,York,PA,Pennsylvania
b32a38cbf4931a12fbbf9221bf21883e,"Arlington,TX -> Houston,TX",Arlington,TX,Texas,Houston,TX,Texas
c732b4d142b6967672b0f18b70e07f5e,"Cowarts,AL -> Montgomery,AL",Cowarts,AL,Alabama,Montgomery,AL,Alabama
1aff84e41dad2a3d90a7fddb029bd3b3,"York,PA -> Williamsport,MD",York,PA,Pennsylvania,Williamsport,MD,Maryland
d28e4e323c9bfc65e880f2031a11b9b1,"North Charleston,SC -> Reno,NV",North Charleston,SC,South Carolina,Reno,NV,Nevada
bb5647e5679d5875fef8288220e8f80b,"Dunn,NC -> Bronx,NY",Dunn,NC,North Carolina,Bronx,NY,New York
b556a0ed78aa8789c6cce379861f38dd,"Brighton,MI -> Statesville,NC",Brighton,MI,Michigan,Statesville,NC,North Carolina
9b551aafc3412967a1994c8a27100c44,"North East,MD -> South Windsor,CT",North East,MD,Maryland,South Windsor,CT,Connecticut
12cc6d86ca447a506b8a6e5902d96a77,"Cartersville,GA -> Washington,DC",Cartersville,GA,Georgia,Washington,DC,District of Columbia
e251fb84652151a1e8e3ac22ed0fd17f,"Santa Ana,CA -> Monrovia,MD",Santa Ana,CA,California,Monrovia,MD,Maryland
e4282ae5368876d93d330192e0ebb347,"Carson,CA -> Monrovia,MD",Carson,CA,California,Monrovia,MD,Maryland
c250a79ff2cd19405f7fa14348ffb312,"Newark,NJ -> Pensacola,FL",Newark,NJ,New Jersey,Pensacola,FL,Florida
7138da9d97b2f1aaf9ed21af98fe05ec,"Compton,CA -> Aurora,CO",Compton,CA,California,Aurora,CO,Colorado
02294c4885e29fc7db0ada46a5c7ca4d,"Plainfield,IL -> Cleveland,NC",Plainfield,IL,Illinois,Cleveland,NC,North Carolina
1168b668c41c8a2a80d9d3f4300c6a13,"Bellevue,WA -> Irvine,CA",Bellevue,WA,Washington,Irvine,CA,California
7dcdca7b8feac1dda06e3cae8fd6f55e,"Springfield,TN -> Charlotte,NC",Springfield,TN,Tennessee,Charlotte,NC,North Carolina
55ab4baffbdceb35af1b3a21fb33bd5c,"Williamsburg,VA -> Winchester,VA",Williamsburg,VA,Virginia,Winchester,VA,Virginia
74aa059c5681336cb162cedd15aecce6,"Los Angeles,CA -> Santa Maria,CA",Los Angeles,CA,California,Santa Maria,CA,California
7b59a9484fa1ccfdb31beff2b9fc65e7,"Plant City,FL -> Cleveland,TN",Plant City,FL,Florida,Cleveland,TN,Tennessee
46eae2d73aa96ca7821ec8f0c9c775a0,"Plant City,FL -> Athens,TN",Plant City,FL,Florida,Athens,TN,Tennessee
c3cc90d6a2e019cd9ea82d8c01787110,"1,LA -> Homewood,AL",1,LA,Louisiana,Homewood,AL,Alabama
fe5e5101e4ce74f47dab28162261bf16,"Houston,TX -> Beaumont,TX",Houston,TX,Texas,Beaumont,TX,Texas
54d1a595dd86aaaee9ccacaffbc692e6,"Ontario,CA -> El Monte,CA",Ontario,CA,California,El Monte,CA,California
60680910bc3a37530f62fd85a73bcee8,"Garfield,NM -> Los Alamitos,CA",Garfield,NM,New Mexico,Los Alamitos,CA,California
856bbf58f6707b825a50a5f37b6d6456,"Houston,TX -> Richland,MS",Houston,TX,Texas,Richland,MS,Mississippi
248701c8eb09e22f105a0b8be8dcaa5a,"Wendover,UT -> Meridian,ID",Wendover,UT,Utah,Meridian,ID,Idaho
f7e9f53971aa14c1faf4ccad566ba4ec,"Alton,IL -> Columbus,OH",Alton,IL,Illinois,Columbus,OH,Ohio
03aef342a2597c2b492bd725f13a241d,"Hillside,NJ -> Auburn,NY",Hillside,NJ,New Jersey,Auburn,NY,New York
a2de92588339fac2b8ebd58a7fbe6975,"Jacksonville,FL -> Lakeland,FL",Jacksonville,FL,Florida,Lakeland,FL,Florida
0690b9e221cc43fb66453c03ce5ecb4a,"Monte Vista,CO -> Roanoke,TX",Monte Vista,CO,Colorado,Roanoke,TX,Texas
3d32c9fa7d723709f8e6582efc0f1083,"Wilson,NC -> Cranston,RI",Wilson,NC,North Carolina,Cranston,RI,Rhode Island
d1d4243ebcbd264403c159b65906f039,"Cartersville,GA -> Columbus,GA",Cartersville,GA,Georgia,Columbus,GA,Georgia
bac962cee11cd3c535e7d0057e0662f6,"Savannah,GA -> Gastonia,NC",Savannah,GA,Georgia,Gastonia,NC,North Carolina
92598034159d5ee8ce31b068fa457601,"Xenia,OH -> Reno,NV",Xenia,OH,Ohio,Reno,NV,Nevada
36e92333262bae156b9b9937bd058741,"Portland,OR -> Canton,OH",Portland,OR,Oregon,Canton,OH,Ohio
70a0f2e9b91b213029c09068fd900982,"St. Louis,MO -> La Porte,TX",St. Louis,MO,Missouri,La Porte,TX,Texas
e5a81ee82e9e046b7ce22f7412aac972,"Washington,PA -> Philadelphia,PA",Washington,PA,Pennsylvania,Philadelphia,PA,Pennsylvania
