carrier_key,carrier_name,vip_carrier
d28b65357b0eb8aca0363a5e0e37178e,Carrier 5631,false
ddf8b332fc769a1f821fa50384e00abd,Carrier 91391,false
faed9e34251dab3faedfcebcb25bb0e2,Carrier 1694091,false
267b35b621859ff21f23b961d26408a7,Carrier 1394523,false
dd5cbe481e3e8e44a8b434055b305b70,Carrier 305473,false
d3b67fa0ba05b885ae839ed97fdccbb5,Carrier 33320,false
4cbf791a9365d800d94a673dcbb9d43e,Carrier 686275,false
b26d5abc180f2f9811bf4d2060ff7f69,Carrier 30737,false
d2e923bfb8454d998a26743093591d50,Carrier 1015306,false
e73d99941863456753c7558d9dd26211,Carrier 51278,false
caa7ad77bcf8f6ae5d5d86ee84497589,Carrier 788499,false
07cd53e7d07fc851f7f77845e1853222,Carrier 71646,false
a1f911dd246b2693af1442e0d6754024,Carrier 1056206,false
b70d6431991e1dde616569489a09ee85,Carrier 370235,false
b98c1634e3755a5212dea4c6695dd2a1,Carrier 1046760,false
2475cff0c7affdd39a0e6397c4361e58,Carrier 862163,false
04fa23fc8ed283e70f882f82d8cced14,Carrier 54272,false
a8630ec1d86433d7058665c627b7586b,Carrier 744432,false
d77f22ee025f8a297df65ab36e0cd0f7,Carrier 632822,false
423a3979e7247ad051f189cd63a07c96,Carrier 1407839,false
8d7387ecfbc3193c4e3093929e49b780,Carrier 941668,false
3cebadc7f2fa5f8c41a3a62f30133d9b,Carrier 1338498,false
9869df72a95eb503c2d21c0d940dda71,Carrier 59401,false
8771f52bfb47d1dd92a9a252220ae175,Carrier 34285,false
f00bfa078ca065d8dfef72c65cfd8aa1,Carrier 43797,false
a91d8f37acb71eddc876010f52a79712,Carrier 1378019,false
d21dde406777affe18363005305b2a80,Carrier 308188,false
810f71d4ba66f660329659e54174e863,Carrier 1693635,false
a9aca6bb0cb31df3b03e671c4edefef6,Carrier 1693483,false
e7c0401b98f5aafd8ef5de668a25a1da,Carrier 678221,false
0504ae179b5fc00ea8d94f590dd9190b,Carrier 1016367,false
1b8b61f1b52b21b2a088fbd6d070c9e0,Carrier 1695519,false
ccc426559c52308939eee00366038ffd,Carrier 88057,false
6d12052df01460ae320729889653e5af,Carrier 1662922,false
b2988a00f704c5fa3d9fc23f69532bb7,Carrier 978481,false
bfa57900f93aa14adf26805351979bbe,Carrier 701464,false
c4df3390282849458c67decb3e3c4ab9,Carrier 119248,false
3790bc3780ec524376c945b0ab2b6bb5,Carrier 1295571,false
eadb8403c838b0351b7477a7da18a986,Carrier 1122319,false
0f9e49a69ff8932e3dda07e34ddc4300,Carrier 77178,false
f82c4fc3c4da6f4fa9a5a37330a5f5af,Carrier 1350322,false
7ba15d4f12a79213523041d3ac706d73,Carrier 1055147,false
bc80f48122302910304d67a4b52d914e,Carrier 61757,false
7be3f7d775ac8cb4fc6e05b0bd75370f,Carrier 975536,false
d5073c5e35f2398320a6c1b3d0b2ac99,Carrier 1071582,false
026a92e996dd3c34fb47a222a40f2b5f,Carrier 54676,false
2a68a3cd7fae50ebbbdeaea9868b1a3e,Carrier 1056260,false
54f6c50ed599eb4619b540d8de84f79f,Carrier 1377349,false
6a994e132b5040e26e437d70360bf255,Carrier 1607668,false
cfe60443cd75191a91797d7fbde5a7f2,Carrier 35925,false
60ff09d9b10d8a12c6c8be8aa2d1715d,Carrier 1695829,false
23558af9e14d83bc170f402b4a1424a3,Carrier 1695447,false
9ca230b9e83b098d0f392ddff1f23217,Carrier 1605508,false
85202618550a06abdaec03785cd71cbe,Carrier 1416008,false
9ab1547aaac3f4623f80b194a1e5b8d6,Carrier 1526325,false
72c4359b16efd37ecfb8ba473178db92,Carrier 590210,false
c676024a0ce57f885d5773ba5b1c0618,Carrier 1066478,false
d91fdf9014ccf8018c5ec68117729cb6,Carrier 38761,false
7201561211f49539489d9b3fc946edac,Carrier 1558665,false
d8bf50db901fa452e0c2a61a15ace8cb,Carrier 78959,false
b40ce87600b78aa6402bd615f6443d42,Carrier 1343557,false
ea21edfbbc1acc6dc304456ad7de541b,Carrier 62322,false
a35e0af9dbad077f1469873e349739f2,Carrier 1695150,false
1071e2629e2f1de4bf09085b93aeddb9,Carrier 1328445,false
e4531b1773e82371db87279a602530f6,Carrier 103600,false
a9a908f9dfe5ae6232f332c4b8a0da94,Carrier 65851,false
250d1d31b5b78a51be64266baa77d0a8,Carrier 984595,false
1bb6163b7126eca9ab77b6161a16f738,Carrier 1067071,false
31dfa2a012fe7bc608d83e226fb2d1eb,Carrier 1034376,false
cca359f4e6a375f95da5b3cf53624636,Carrier 1693724,false
cd8e7711800fc19683b5916bff218be4,Carrier 1362519,false
72498787561b7219560639d451eed4c5,Carrier 1375672,false
11e998d2e6b42322ecc7fccbee30f6f5,Carrier 978321,false
2e04fe5737ae16c3e2dd7f168ca00132,Carrier 1013471,false
e86782c158d38b0c13fce8b39f938597,Carrier 1039317,false
dacc550ad56de6137f943ff39713974e,Carrier 546141,false
e5f9cf6b8f44908d89dcf77599e755e8,Carrier 1235861,false
c68577de510b098b83fa7576e9752cee,Carrier 680195,false
c77a5c6f2d4f5b67599cdab3c5368f02,Carrier 1232674,false
899dc1a65942061522bc525aff021c7a,Carrier 951595,false
37d383f2799ac3c5243272e2eb841a3a,Carrier 1639060,false
9c72960fb63ca2c1685be21e6930f1e4,Carrier 1640414,false
e5f2d011878895b09d017fd799ffa661,Carrier 1198013,false
25265af43bb359b360a190700b308ce1,Carrier 1300149,false
2a6e047685bfbadf2ea1cec883859ba2,Carrier 7796,false
22ba42aaf65fcf141f95cbaeabdfb223,Carrier 142096,false
5756c8cec1288ff7914064641ab14329,Carrier 1219386,false
afb9274ac58944903f3a18d9ae652c94,Carrier 1247580,false
26a823268ba446d727eecef6a7482356,Carrier 1412944,false
cc62d8aed0f09455235b867e28d3ce0e,Carrier 1020389,false
77acc141eae6844335cec893e394bbb2,Carrier 1014395,false
166899be193d7c97b51787b793e9afd6,Carrier 1694888,false
4809023e55e5e8ef3ba605712765ffc0,Carrier 1419154,false
ba20c5ffb902bbdcd079a4ab02afddc8,Carrier 1695228,false
c6d63b622c98b3b6a7ef2987150f1489,Carrier 1356737,false
95e86fba82410dd1fa5a6807a3874c95,Carrier 495998,false
47aa3577562c0fcd507dbeff835b6524,Carrier 958291,false
534e946b8dde6cf2bbaf8bd4287c7134,Carrier 100709,false
6b40496c07dfc5483891998bfffaedb4,Carrier 1693586,false
e91b4c0f1e235362bd3c0d4aa93438ee,Carrier 29044,false
f397a0084fbb935026a3b6d198a98850,Carrier 140448,false
0cd0d451ad218519bc9a423d7324c3db,Carrier 1695404,false
fc3740e9f4455a088cf2b620608afb01,Carrier 1090398,false
014815ec9e6f624654369bf7e97d97f1,Carrier 1215337,false
cbe750f2b9812212ebdfe92db0711e3c,Carrier 1443765,false
6080c0bf3e41cd68dbdd0028141fed0c,Carrier 753660,false
08fba3f815b072c04df178e880fdfbf9,Carrier 503422,false
817fae7aaf4c24d9b489921d17ac42d0,Carrier 1079255,false
dbe4b37eeab767bd76be004d6a8d00e1,Carrier 746100,false
c63127f692c9aa66deac4492d6e73193,Carrier 733897,false
ef73e7dc159f22597afefed1c74211bd,Carrier 14533,false
d493c0ae5c28b0be92110bd8c23a4c17,Carrier 9000,false
b063209955c6f15ea41062c63765ebbc,Carrier 1009479,false
784c321d8fa7f0d6b7dd37d82ae22c66,Carrier 690828,false
e1796646f4dff4aa87442651d5f56b9d,Carrier 1333777,false
2e70a67983366f7f8477ccb4737677c5,Carrier 1491474,false
2a13f618deefdc719787e3ce4d897c89,Carrier 1044520,false
